idade,cpf,rg,altura,peso
28,82610374950,34494024,174,81
28,30982746113,93858022,167,61
55,70983156212,28305496,150,52
43,50638179203,83478214,179,53
66,32875410997,57492881,165,50
89,85370921695,99222964,191,67
60,23694078592,77176291,180,80
23,56823914033,50514574,168,91
70,25964178049,27872293,161,87
61,59381470693,72315678,165,73
69,28165493728,91039559,163,97
43,50741938693,85981468,186,82
28,95810237630,70653752,186,69
47,64910835784,37378324,189,75
79,95162307416,19288650,197,67
83,59186732455,67940030,177,85
72,81964037557,32148939,198,56
64,09476253800,36497850,161,92
68,27895413619,14960119,189,57
75,41208953605,14222947,169,80
82,50189426730,57734253,182,74
37,04391657252,39614816,178,69
48,07493851620,81494298,184,64
50,14956730810,66410510,186,51
66,52678941094,97681698,163,99
71,23780469529,66539068,158,90
35,51638240906,94684252,170,76
42,42083596170,10234222,160,78
36,17034896240,11794309,185,66
40,28031976503,80754560,198,71
83,91045627399,54558685,189,62
61,13479580297,80405209,170,96
40,42078916501,69643837,155,54
79,01372549897,14433618,177,90
60,12073694543,66719962,196,74
20,07214365871,59278967,173,95
54,10675948339,53952315,196,75
44,03298751677,47409272,153,61
18,25168709494,22558403,158,73
48,72380916403,81981575,186,71
20,24536981764,73583536,167,87
86,32568017490,33155622,154,81
52,81965740375,11002483,184,85
60,36194587237,59406417,157,98
29,89605324105,23641497,190,70
63,52618039424,99343378,163,99
19,76053184993,89273417,177,99
70,19685724067,29765346,175,71
87,51327896419,83716853,198,52
33,85231679437,42913464,153,83
41,42571689002,38132583,161,65
22,58417206353,13860670,153,98
71,57014369857,20847664,170,69
87,13802754905,73787983,200,55
81,67031948231,58887873,200,63
75,29041683704,52222520,166,64
54,38916205433,47377048,176,57
21,07135842626,61714503,197,93
52,09873452656,91351087,165,75
32,15908643289,97493531,154,65
74,79210436580,64518974,200,59
27,96273541043,27104337,168,68
36,92046351770,92712358,196,81
25,53182694006,46402783,182,67
23,20584763107,97292376,161,69
32,17925608340,30392046,177,60
54,98376051202,70314184,151,73
64,86951274002,66234117,188,99
66,87569312473,88947023,199,69
34,96253708465,97193262,199,99
27,78524963182,90957717,160,58
87,17962845309,91733021,154,81
69,46781305948,72925416,172,95
34,45307692161,95349013,170,84
71,24798351628,78390887,161,96
29,51408796201,71770811,184,70
36,75026931812,25449736,170,50
25,21347065890,63096837,154,65
82,93781065286,51885053,167,66
39,78039125405,66043731,154,75
41,52631749855,44836177,175,55
31,02735869121,99168094,200,79
65,91435682033,71209259,160,83
65,72059146801,13788198,180,60
33,47958230656,28393753,175,82
38,25801397450,93523886,194,63
67,18576903466,61119506,200,66
43,38560219498,68671143,162,70
65,59820617430,87236657,165,73
80,20849573629,68912670,163,73
81,45386709100,63530238,168,74
44,89740361269,32209565,175,81
75,36275910461,34243272,184,50
87,21534086951,21866114,179,70
62,38214657008,61870258,151,50
64,49236057829,20972653,187,67
26,65834107290,38327552,159,77
66,71548206326,23711864,156,81
70,75298410685,89839815,189,50
62,13586907400,38377334,166,59
76,91852304642,23562201,151,92
72,57608192402,15513597,166,70
79,75091246894,91820233,169,65
63,72185346946,62039196,167,59
52,59418632098,26494821,168,72
44,54392706125,29236615,158,84
73,54120386708,72630503,179,97
58,80791254658,60551908,157,89
46,51836209703,97762169,154,59
61,89710425676,58842259,184,90
45,96132578021,35915861,172,65
40,27084193669,44424610,192,92
66,16784903269,68628728,180,95
68,58243097600,17080975,193,77
76,97813054601,86159313,200,86
53,39165724828,80313005,166,77
85,59782341673,91213222,159,65
85,04928731603,19797662,182,63
80,30219847622,48492137,165,62
83,32971684555,47631098,186,57
25,03498276565,40246596,152,72
42,31069842524,10210346,176,59
27,06948731520,42154408,190,61
21,98452730683,73828364,174,63
32,76932810530,91861017,150,69
50,21805793659,34752355,175,74
37,19356027803,93299356,185,81
59,87216054326,72578699,151,50
72,83701964203,56384474,179,91
74,30861945298,15100802,196,99
34,86290473565,37989124,161,100
65,98463250106,26051500,161,51
44,19345260706,97244719,193,66
80,08435176207,40383112,156,70
90,61704259380,15147808,151,62
25,59803641700,71676778,159,67
87,46910827511,20899381,151,78
40,78503621444,16852808,174,64
61,89315742079,80366591,154,81
79,15962384709,58512610,188,93
24,26139845033,42716134,174,83
51,19426073507,15628279,184,67
43,94018526776,72266872,170,88
41,14867530948,11830226,152,52
43,67205431999,23643476,163,99
62,01642573817,59393718,161,73
73,71586430939,99492931,192,67
89,93467851282,25661229,197,65
57,02964853738,95730955,176,88
71,34589260115,13909005,152,73
81,27305961434,22542417,162,72
25,47291830613,12723227,184,89
53,18749062549,86293764,158,74
32,36847195010,51907529,173,87
48,69372581003,32675798,195,78
64,79251406820,33541056,151,59
66,81206374535,35327682,164,82
85,72654301907,62368077,200,64
31,46871350217,78421811,168,50
42,76952081321,96730065,190,53
47,84206571317,67201878,166,80
88,58076291321,50384831,192,100
68,57308916286,53457900,153,64
38,92701648530,56148287,168,81
61,15069824767,30599803,198,62
44,98453026700,45127381,156,97
83,48503126753,24623841,162,78
79,02973465125,74567605,169,76
43,12783046571,60929702,158,55
60,58047639110,55509837,153,67
47,70594638283,23420126,197,85
38,25187096494,32958312,172,78
63,23645017925,33920868,179,62
83,25804961306,38298394,179,53
65,82743169087,24202001,188,92
75,23908475104,78473493,189,71
60,73609245883,18173875,162,81
88,52370864117,11686810,163,67
75,84651097375,63544398,155,55
38,68031974500,48072016,154,51
79,51243789646,58248963,179,71
45,69704318510,40359674,181,82
58,98031274622,44010233,165,60
20,26479508300,41970869,176,97
74,94750361801,21379230,172,69
25,40539162833,70303841,184,99
41,15936807401,68843217,192,76
54,54023187607,22167108,156,93
52,16049253889,16664617,150,63
90,03178264922,60440916,165,92
89,10387562940,88964390,182,60
59,08143562735,54267318,195,85
37,98372164096,22252532,182,53
29,35760219499,42305153,169,65
60,02547983656,48500589,175,74
78,81624579094,19242717,156,85
58,52478390647,11136886,152,60
22,70126385408,65301899,191,59
71,16047982387,62802817,167,91
83,84935162015,55129435,154,78
79,49012387604,92541907,168,61
60,37109854639,55574482,195,76
36,10643257934,21501923,172,55
87,29376854047,44606650,169,75
61,79601548300,22971403,171,66
66,36789041222,38945257,177,80
49,05471632826,64615102,166,52
54,69384275182,33165024,180,63
59,79286031521,85038126,155,87
41,50736948139,20581969,156,70
52,20594716802,23885452,188,51
43,08621459370,75296983,175,62
41,25167980321,40348188,162,51
86,93617840566,71905561,151,76
45,62190745306,73167771,195,91
51,78523419004,75255074,189,69
60,12064897585,26492793,155,89
30,06943751875,66240128,197,70
69,12874059676,86996211,189,91
67,05469378292,65181441,198,61
74,97580436256,45009280,150,94
22,71658209303,24516572,165,97
49,15089437610,29375445,155,59
77,58341796066,89083766,169,57
81,05714289323,46080315,192,54
43,46173259800,91571448,186,71
68,20715846949,40713079,175,85
19,83796540210,19514657,198,73
53,08914263703,27699918,188,97
83,28401975611,94986068,188,87
45,26148573946,99899834,181,62
79,87510642949,62989611,199,91
40,70918642396,12194031,172,77
62,90287314669,44323340,163,73
76,12503987460,15365306,171,70
79,24910387579,64818009,180,86
42,70594618339,35191544,200,94
28,45387021960,10026227,190,58
61,70519382668,62278545,172,73
82,20134756835,75368880,163,58
78,76409132506,52321573,177,59
44,70329145606,87298232,153,96
52,53190826730,68610958,166,51
37,90421586702,71094115,176,92
50,12546308998,91390294,173,90
33,36278015986,59691559,175,85
59,60713592877,45091502,188,95
59,75349162837,27815173,186,60
44,53960872429,58906471,198,94
64,56042931806,62570292,155,69
62,10826597467,88068306,187,66
37,05927163416,44903748,152,95
65,74193028631,65490383,162,84
18,53289074188,16661146,151,99
77,92508713686,61891048,155,70
19,71038629586,86850536,185,84
55,78925014360,58336596,155,100
68,43721968069,52923173,200,55
39,38975246191,76102055,181,76
72,74201856380,12434885,178,65
80,71052643817,40120023,162,73
25,54607123862,80847039,164,99
21,92150386470,37156748,179,79
20,81064329551,43369554,186,92
60,58307162408,62065262,195,57
37,63581270471,24561665,176,97
88,93158246791,27497702,185,81
23,81325749079,45162557,172,97
19,29684573065,55345205,191,64
52,35096871401,49571182,200,72
66,67834290592,23157858,163,74
70,27106359416,47561036,194,50
74,18026573986,76304630,163,93
90,57364102906,91755138,196,57
36,56793128400,70394861,157,70
62,50819746258,47566825,180,92
70,97104682511,28738760,171,62
77,67092435161,54201998,162,55
64,90718462378,44201171,168,85
90,90564871320,50903043,154,63
25,73589041684,90367353,163,97
54,31604985739,56469129,154,73
35,19285703640,56647512,154,74
30,95721860359,18870827,158,63
75,02138659470,57625232,197,69
74,46823107553,10994562,170,72
20,87463029131,52880840,178,72
76,82465391089,35560914,181,92
47,04852319723,51522831,195,82
81,65274890300,55040231,180,72
86,83529471682,95520982,193,53
43,85913670221,43730364,181,73
67,01734258950,49053464,193,61
21,02416538942,96726200,198,76
57,10396527434,74552009,171,53
71,25673189095,59792833,186,57
33,36724908574,98190769,158,50
38,31582079404,14227762,185,53
48,02431695743,44280958,163,66
19,46537021871,36629872,182,67
39,36470192831,62163053,151,55
28,56027419334,78138370,189,89
46,59784321041,64249414,169,100
75,28190456342,51188352,157,95
55,27360854180,80296457,167,82
55,97630482140,21330966,155,80
31,46730519800,58757900,197,82
73,28903457692,65331492,172,99
32,10968274331,78647946,200,95
28,59034718620,91042061,182,72
31,43216708535,45229879,185,75
32,31759084620,44867721,167,97
74,48126793546,56439569,163,98
55,56093748120,93934805,197,55
46,62310589489,71889438,151,53
76,07512634862,51175470,159,62
24,53764012943,71484271,192,59
50,26971508386,23548571,155,77
32,58624793092,42784138,185,89
57,18904326796,52864066,187,63
42,72019384604,97958517,152,61
78,84137596255,13764707,190,82
28,05716342906,22253747,193,68
81,15078394214,73903711,198,67
21,31805496298,85764395,178,90
72,90584162324,51354494,180,93
49,61753940893,54823421,160,55
47,78105942305,86265275,195,50
20,75462109849,55397560,150,63
54,87534920647,71903154,165,50
24,61374098213,63160005,185,72
42,63941852728,65881223,177,76
84,51728496020,19466218,164,97
55,15870649366,98252866,165,50
44,89467502356,26352609,195,69
21,03265178471,18870306,198,61
69,51078946230,32817263,185,77
59,61297458346,28586523,188,73
82,48697123003,41998044,179,59
43,90856412333,20186239,166,52
64,07394182622,97733043,161,73
53,38521496737,88366956,156,54
22,53849261719,33049291,200,51
74,41068973501,60072068,183,79
39,29501873668,54464798,195,68
36,83596124042,28329255,183,83
63,24567109325,56321296,181,94
54,80425367126,27199162,186,67
21,92587610303,40154231,199,92
61,68517302435,93799687,177,65
82,45186072958,64241418,166,53
46,87934205104,27451273,196,81
63,96854021758,69213564,183,71
40,21864395737,89660750,194,59
65,38945271023,75527450,186,65
35,89710435205,23028209,154,80
22,45912760316,29386215,155,84
22,63802754107,37948502,196,72
53,12684950776,78184119,197,84
25,58497601300,24916157,163,62
46,38795216030,96454584,155,83
36,63841592791,69636822,192,70
77,76108942304,27699806,199,98
79,13290458660,67005844,182,80
41,08126973404,61320020,197,79
24,30682954160,55543450,163,73
56,03942651815,93800428,152,60
58,65431209752,88341888,194,54
34,94371682537,39454230,161,55
56,90315742607,55106525,171,59
72,87365102462,62230373,162,85
35,59418376075,48401174,153,80
57,67814235928,25056742,168,89
81,30146892704,91479412,150,50
75,17608945320,35621308,178,58
73,30418796548,16213235,191,83
39,94850721397,98715660,186,74
35,18523746080,90509090,186,52
70,90472851314,89948151,185,55
40,68021953489,86809836,178,93
33,26037189404,11199124,170,80
32,30184576253,30659461,187,60
39,05697184220,32070295,163,69
22,23540187626,35469885,177,84
30,52097813488,67297551,193,96
22,01487325932,99780709,195,91
77,05319872488,97934366,196,66
79,51297460820,62829767,195,76
89,56148203707,92407938,153,98
26,40516837290,59375409,191,56
90,68719034296,59059061,185,75
49,28519074685,27480867,182,57
18,74163958282,97142814,164,58
68,90274618303,62463405,179,64
70,34298510689,84080030,179,61
21,17029643887,34487726,184,70
70,38945201750,46996014,194,81
83,97426815030,77742671,185,60
35,01897652402,60873188,167,64
47,56714890249,79467154,179,89
43,18304926598,30807209,190,100
43,68735294000,71462051,189,86
28,02819634796,31408656,173,56
89,70186425317,70437673,159,98
90,23591847682,57670704,182,50
56,58194027314,20528357,155,93
33,84079261594,24583830,159,67
45,98026741501,73760982,168,75
40,65814092351,97179218,173,54
31,71604358262,76717553,169,64
87,42957068338,50674646,156,75
52,91074823613,55574291,154,78
35,06315482970,75270907,162,76
30,19825467002,66630326,189,68
25,09578136439,57100576,173,98
68,15784320653,70525558,196,67
69,21954076380,69665043,156,73
64,06431259815,25942268,169,97
25,35279160830,56701964,179,82
25,51742036880,11703964,198,89
39,63950287400,67214711,199,63
52,56932740800,61635194,153,64
42,70265481317,47768892,171,70
61,01687953457,22537716,162,82
81,91376042525,77676024,150,52
69,08254917388,83367741,169,90
21,85361270903,57650052,192,73
79,59280713450,13033950,186,67
42,58279430105,95045120,187,99
37,54068173290,29389966,158,84
25,43108592750,94319365,156,95
64,38590621740,17351766,153,56
18,64023958115,70567358,180,74
71,95381702450,65658317,199,50
90,17850263995,34919848,150,54
74,51263049761,10079868,159,62
34,69718504249,39112650,186,75
28,68509147310,14654043,159,85
27,63812709503,37024610,192,72
62,49835201633,83155045,162,50
49,31560947810,14431673,183,90
82,63251097407,15323624,150,88
44,05372946199,66156172,168,50
87,62015847901,29744359,198,82
59,58316702959,41538288,164,73
85,82761053940,40423279,170,96
46,61258947382,97192217,169,69
74,02734165880,39173015,198,97
64,50489213642,84082803,161,84
52,43295801606,68855407,150,59
31,28109475388,43714938,154,84
74,31208456989,13526241,198,73
70,49873025197,80074504,153,63
53,39815467093,11110978,150,97
79,90578642310,30397896,191,78
85,60214975380,12323849,194,66
47,64789310566,23295612,167,70
56,87945160301,85782902,154,75
75,43682901787,19519151,193,90
62,41839602740,98513204,153,65
35,97320156407,80127405,151,72
88,79451083693,40462794,182,61
64,01489273514,63631632,193,97
26,86092174340,72552001,180,53
53,37059268456,30905473,189,69
73,24361098506,20114003,175,68
27,19357042814,93029817,153,100
89,18249670396,13215644,187,61
35,91234067552,74917490,176,78
83,68374159057,63367477,178,52
20,29750481658,72656097,154,71
50,94375206152,16938988,189,67
64,48921735097,49290376,194,58
44,38659702140,28832765,155,100
90,92873401613,18517795,200,100
67,43809625124,67484924,167,50
69,06582197401,73242181,166,57
69,76592814373,18034949,185,52
49,18034975648,56396285,156,74
66,90276431561,28703209,170,78
34,70452361907,41420703,156,77
53,86243705900,44304982,196,96
57,60532481771,62602783,169,68
19,36492501799,64989870,196,84
66,40976253143,51859760,159,98
45,13275409670,60218447,153,80
87,53641890748,60222435,161,70
90,29631504743,78882076,188,81
23,96037158401,92650982,184,77
29,97315820450,92755196,153,71
59,50138276471,44601931,195,85
80,47086392529,34756697,160,94
65,98643751057,49585849,168,60
49,82604591758,87432371,153,79
49,85046173948,37601255,174,88
64,07843625992,60772009,164,99
21,68571923400,23564038,156,82
34,32480571904,88951529,172,84
82,30976152886,21314274,166,60
41,43209876169,31643594,174,55
48,79630251434,27391525,172,66
84,63170529480,48634796,194,73
85,40298761530,77354243,182,79
54,86539140720,13775279,184,91
90,43715682973,79640628,196,88
35,57963401820,42285552,190,64
29,81075369240,95514742,161,54
21,60531974243,27598803,200,57
88,59167034225,98923137,162,76
44,61245937006,98459544,186,98
58,63451798093,72526301,182,86
51,93824160560,86549630,157,58
21,17640853290,29305102,194,72
55,10936524898,51881381,189,99
19,41390627896,42078952,170,68
59,97824365182,35360966,152,86
24,47936805265,24240646,199,92
48,53180496720,10714011,189,69
39,98063417240,29227573,194,88
72,17396804213,43030569,155,94
69,72095486102,24031098,200,50
41,40316829560,61130573,160,69
48,57643802190,42754405,190,59
32,43085619224,32000091,165,100
81,59213840705,19588733,193,98
70,87690513484,18926996,184,87
63,86719035240,42122385,171,95
40,19470562801,29723048,152,83
40,82746159058,52317232,192,59
33,74215693837,45953390,183,55
60,83079524683,97847652,200,70
84,02859473629,14113217,156,87
56,51347028617,56060913,168,68
27,43152967837,26651198,167,82
82,54673012925,49944155,189,51
31,35971208659,10791484,198,63
26,87916403501,27937352,188,91
65,81742356044,89280328,185,55
34,59612407380,56509404,159,97
77,38597421673,98622074,194,62
78,63784052126,24241712,178,81
73,24806593729,47504755,175,75
76,02356187480,39693698,176,64
71,81593204779,31644369,183,54
52,93067158202,52000131,199,79
41,83619450757,10441873,181,99
23,21546078371,80481895,183,93
32,94526701343,35446820,181,61
22,36429085783,80676571,165,85
76,06421793525,51791043,182,57
75,57803492150,64545689,176,64
20,17695428094,43795968,161,52
37,53784602983,32090292,193,94
67,41529803624,77563869,195,61
40,06815932451,99878002,159,51
33,15704623999,19847606,180,55
82,08473621913,12947572,159,68
81,32570849600,74737556,154,77
86,04157938666,51394193,178,63
61,80672193540,69154739,183,99
81,68405729194,49190417,191,82
72,86427931555,33102359,176,82
60,63810724580,23847485,172,84
75,10854239723,71544316,172,50
61,32568791446,42836760,162,62
31,93052186795,49227440,155,83
74,15092734680,65474697,193,78
64,75609248167,33960532,176,76
36,04783591288,92634749,179,62
69,42753916080,80942093,178,80
52,24609578310,32594703,172,68
78,91873052405,48356515,157,67
71,40583769292,40146757,191,69
29,29104637534,28676256,156,57
43,83027145932,24720048,191,73
56,52486901370,99795820,155,98
76,71205864911,98662341,165,98
60,45386207180,92524330,178,54
57,85792163464,23727159,197,50
47,06295847374,60914171,189,60
32,50742189341,87016661,169,75
51,58926743047,26001763,160,73
85,85120643744,10041073,191,67
89,87361052959,94029640,195,97
61,14076852362,11044220,173,95
80,09657831202,14052320,181,89
87,49703216803,92468804,197,71
39,27146308987,66247438,151,98
26,72183549041,77734604,193,97
25,01583462708,59099488,157,98
39,46539012870,14646844,169,63
86,02583691759,40401863,185,59
55,71895406285,47700620,182,76
41,26974508310,26954191,197,92
51,79583146200,32940158,187,63
49,24153870617,93128094,184,88
19,58147230680,77610682,177,97
82,47182503905,48449707,199,84
83,35108729677,49635152,170,89
75,13584270979,37855889,197,56
22,65704231853,63562424,164,68
24,71589360400,60231908,200,51
28,24931608787,77819979,177,85
32,94785621346,72753292,177,66
52,03689427592,37976220,152,93
55,06795842347,46579209,153,80
33,76942018511,49471634,183,51
29,05632147835,85886690,157,85
80,63815942098,55764355,183,60
43,90325861498,19917304,165,56
31,30125948760,90138362,173,99
69,32675081426,41127279,181,62
73,32965410716,92791627,164,78
18,29567481067,93834305,188,97
44,74653098247,68911919,181,87
19,20139856730,89312881,158,90
83,28175630426,91940708,172,78
47,57396821428,41421230,196,95
76,20365794180,47414763,191,57
28,53681049289,96386082,197,70
53,63490781287,60276304,182,88
42,35621470907,78355520,184,82
74,38152947032,86405166,185,53
75,41023897504,55596995,192,64
20,15269837455,49831494,162,60
66,31476805920,45086145,187,80
87,17490683203,71151216,196,85
35,67029843169,83574485,177,57
42,02376419840,93364827,186,97
52,57369814246,29274850,161,56
57,27054831608,27993632,158,98
86,01723598488,79364932,198,69
52,34528160790,94299870,189,96
87,19734650866,69279042,153,75
18,95162870420,57060174,196,92
30,29086175368,60638784,177,50
55,49567038210,90965904,176,94
24,93640218515,10292944,194,85
55,56419827337,75613675,198,50
58,51264973080,34494150,158,76
83,31296405842,33390877,184,79
43,20641875371,56172190,198,77
26,29705136840,89328261,160,85
52,56180742308,59177524,176,56
20,69072854101,57122860,194,65
85,79314860566,77532196,177,50
69,73108429604,80714102,193,70
62,78041623590,93633693,199,83
70,35124678909,20996278,195,85
57,28401769558,99865878,157,65
78,09784236583,91008833,186,94
28,13045827608,13050012,153,59
48,82591043779,75203671,154,99
89,24316850717,56967475,166,67
36,73029846547,47979809,163,64
62,58971362030,40601352,199,74
84,92310768413,93605806,174,95
22,14306825744,42243050,191,53
67,01764895258,52032274,157,52
35,05412986315,55378084,158,84
25,80234197579,20848418,196,79
39,37498160501,13359037,198,62
39,21865907430,26543752,157,81
27,37094126506,93852093,169,71
73,09157864357,24640734,167,66
62,12930645725,84946996,200,60
77,41327508680,29348656,161,69
37,21643798022,69226493,161,60
61,60827951485,35980711,154,94
27,84673201922,53702206,190,73
38,73146092506,62712464,189,83
37,64835219015,37672410,181,87
75,94358761291,66020513,158,57
22,32910457699,28404647,193,80
58,95671083400,51492015,173,68
80,70924165316,41087109,155,60
73,26934705106,66911041,199,50
21,13045897657,67232254,185,92
33,08432659142,42758219,180,75
86,47180269549,87177744,154,58
49,43528067900,34467471,158,80
61,67019584357,44581473,173,73
47,89724530647,19870672,158,90
20,78395426119,73164543,175,81
62,48015376939,50413310,191,93
90,74820931687,29990564,169,62
53,74519362016,91966297,159,85
53,30869542133,34726726,188,57
60,74813250653,44106054,157,76
26,30459176820,66619040,194,97
50,04569273106,13762350,155,64
42,35842910705,54898261,177,89
38,41063592780,13190312,157,73
24,09351846784,94651743,158,55
54,91827536012,75770583,168,52
23,16329570868,59988509,159,68
75,16985420702,62567189,175,57
68,51864970375,18906777,197,91
65,38741205626,45820022,162,93
35,76248153973,66263949,166,62
38,42950168370,33147599,187,85
18,72309654892,58038869,164,93
52,50462173844,60253437,185,56
77,80196457300,56408778,156,62
89,29847136050,93293996,163,85
42,63970821487,33002486,172,100
72,93108765493,46799045,193,72
67,80297543610,47236240,152,76
37,32598617428,22105106,192,72
85,69508721359,94938061,185,81
47,15326780453,35478192,166,88
36,89751263409,49553188,180,79
82,83694512098,18730832,165,54
31,15978460230,47389687,162,100
65,03267491878,43171249,185,57
56,27950314699,97899833,169,69
89,24593176034,43788846,157,98
61,20761483535,78040011,190,93
67,41706293534,48107155,196,95
58,05173629452,89406754,167,98
54,82340615933,93218603,159,75
54,12487056967,36790060,172,95
46,56492710894,98255766,171,96
78,49278653047,14712440,164,94
49,57104289658,96870893,164,62
34,41290567867,72253390,156,93
26,21478035960,73776111,173,63
21,69731524819,87690203,191,99
65,97514026894,54983884,158,75
47,40162957858,73418175,184,66
26,86294351782,38809052,175,71
37,06359871475,94548596,176,58
69,62931750425,74704561,168,72
89,92036518702,24920234,199,85
42,91562408305,58496167,183,85
24,39628415719,56542401,159,61
33,90251784304,75957848,194,80
53,75904862130,93949334,192,66
32,07183642950,77811588,152,76
46,76392108521,88856360,184,91
87,28904713650,80244293,175,99
65,52130967868,92991900,183,78
23,26310589768,90230559,152,100
58,49362107570,40553562,199,99
49,18054963793,45207617,166,79
70,15942370699,18186973,162,88
82,36845091757,48263402,156,71
31,57083192405,43501626,169,100
34,24653081735,10505822,156,81
69,19526038460,51646880,160,63
37,26471395809,17685877,186,64
88,87125946364,79354948,161,67
41,14039762878,91374720,185,57
22,71403852979,76866613,192,86
27,97264081567,35379048,183,96
43,51849062749,80299184,190,93
29,21893760502,23340487,190,53
48,59026371802,17773031,165,97
31,86109257494,86712594,182,50
22,59604318748,31581778,199,64
36,38194760240,53639303,161,96
56,95417380601,48223516,183,87
49,85763214919,34462617,185,94
82,85316094298,10272319,182,68
21,76923450829,64304102,189,92
89,68394157246,42588135,168,53
52,57081462901,96107286,182,68
76,89352106768,21905105,199,81
37,67958013493,85166151,155,67
74,07451268390,31996852,190,62
35,31420687590,13110632,167,57
84,27963015407,14076862,154,69
77,39427051680,16726200,182,72
48,74250816958,40710626,150,99
65,43107985600,54437480,190,59
31,69824375155,27079331,155,64
56,75830169401,43173484,189,51
41,60329815415,80217550,173,86
21,13597208630,26883892,190,98
72,75391280621,74848246,196,99
89,79512843005,95058140,152,51
61,23485061735,54008393,161,84
73,18540967375,37295295,183,52
70,78261504930,88689782,178,90
76,39210475607,96672124,185,61
63,71268094331,83121001,192,96
46,01529768411,93139808,166,61
47,70231548680,70904973,192,76
58,02154968767,41855802,154,69
21,61927438519,69196928,165,98
24,03721548671,40971334,165,88
71,90463518233,73705044,172,57
63,37584692010,89580646,193,71
24,28146503942,25459870,197,56
50,65203149860,28382826,158,77
67,35786921077,61240361,195,67
42,73921480604,69652908,150,62
68,61207394831,81394867,199,93
55,38196452764,54782819,194,78
88,82469573173,65373194,184,63
74,18605974249,11836066,159,54
53,59731862021,34025446,158,94
31,65724013835,42219322,180,53
53,72698513446,23316132,188,86
34,42786013526,44864844,175,87
86,20734691599,23629456,195,58
37,35927841023,79315456,167,84
33,45127906325,42187359,171,89
46,41690325860,34372406,163,77
29,61832407535,37440850,191,70
34,32856409792,43751044,159,90
40,46831702562,74243292,166,75
64,79510482676,82635733,195,53
80,48976320131,65432497,183,60
43,62759803465,23920999,193,98
77,53812467062,31401598,159,54
22,09715234607,73488619,174,86
24,36705984210,89024447,171,63
58,89026734565,77170980,199,88
30,40957831250,41313558,184,69
57,29570834692,82427589,180,66
71,41068527994,82376984,188,68
86,40973265892,92982714,183,77
64,01673492525,84860396,174,60
54,24759310606,75789426,200,82
33,79806412303,20939774,197,56
56,12670985467,11904284,179,94
44,54961730270,44722398,191,55
83,13542768928,15104745,190,67
72,35729048114,90145955,156,57
43,17342508950,30996968,190,51
31,54867219002,45006425,158,61
68,50638124735,18800703,167,68
75,30298167450,28709336,190,60
90,52614398098,31511352,185,53
51,87293106440,11082913,186,51
34,73614508226,37713957,192,65
33,56439178237,27102590,194,79
39,48921653791,54089153,200,83
51,97041628396,92522982,191,59
64,41205683933,64138137,157,78
79,25603419725,86654574,185,97
78,65340187217,76521074,176,92
87,50927864185,99211941,176,50
47,83621479031,78250522,152,77
54,61498025749,97720936,150,55
89,52016748958,49009005,198,53
42,95713064875,46887647,180,60
68,23170945661,14184220,181,63
24,94802716567,42600170,163,95
74,46092185342,43341277,191,56
